id,Time,Type,Notes
288,10:27AM 04-21-2017,Pee,
289,1:13PM 04-21-2017,Poo And Pee,
290,3:59PM 04-21-2017,Poo And Pee,
291,6:45PM 04-21-2017,Poo And Pee,Mini poop
292,8:15PM 04-21-2017,Pee,
293,9:41PM 04-21-2017,Pee,
294,9:58PM 04-21-2017,Poo And Pee,
295,2:25AM 04-22-2017,Poo And Pee,Double pee. 2 diapers  pooped right after first change 
296,6:44AM 04-22-2017,Poo And Pee,Small poop
297,10:02AM 04-22-2017,Poo And Pee,Big time 
298,1:05PM 04-22-2017,Pee,
299,6:38PM 04-22-2017,Pee,
300,8:40PM 04-22-2017,Poo And Pee,
301,12:51AM 04-23-2017,Pee,
302,4:24AM 04-23-2017,Poo And Pee,
303,8:11AM 04-23-2017,Poo And Pee,
304,8:35AM 04-23-2017,Pee,
305,9:15AM 04-23-2017,Poo And Pee,
306,11:16AM 04-23-2017,Pee,
307,11:42AM 04-23-2017,Pee,
308,2:19PM 04-23-2017,Poo And Pee,
309,3:45PM 04-23-2017,Pee,
310,5:21PM 04-23-2017,Poo And Pee,
311,6:42PM 04-23-2017,Pee,
312,7:45PM 04-23-2017,Pee,
313,9:04PM 04-23-2017,Pee,
314,11:42PM 04-23-2017,Pee,
315,3:02AM 04-24-2017,Poo And Pee,
316,3:15AM 04-24-2017,Poo And Pee,
317,7:33AM 04-24-2017,Poo And Pee,
318,8:27AM 04-24-2017,Pee,
319,10:16AM 04-24-2017,Poo And Pee,
322,11:00AM 04-24-2017,Pee,
320,2:09PM 04-24-2017,Poo And Pee,
321,5:20PM 04-24-2017,Poo And Pee,
323,7:00PM 04-24-2017,Poo And Pee,
324,9:31PM 04-24-2017,Pee,
325,3:54AM 04-25-2017,Pee,
326,6:42AM 04-25-2017,Pee,
327,10:23AM 04-25-2017,Poo And Pee,
328,1:45PM 04-25-2017,Poo And Pee,
329,6:55PM 04-25-2017,Pee,
330,7:36PM 04-25-2017,Poo And Pee,
331,9:44PM 04-25-2017,Pee,
332,10:12PM 04-25-2017,Poo And Pee,
333,3:24AM 04-26-2017,Pee,
334,8:42AM 04-26-2017,Pee,
335,10:00AM 04-26-2017,Poo And Pee,
336,10:44AM 04-26-2017,Poo And Pee,
337,1:16PM 04-26-2017,Pee,
338,5:00PM 04-26-2017,Poo And Pee,
339,5:34PM 04-26-2017,Poo,
340,8:06PM 04-26-2017,Poo And Pee,
341,9:53PM 04-26-2017,Pee,
342,2:03AM 04-27-2017,Pee,
343,5:48AM 04-27-2017,Poo And Pee,Small poop
345,8:00AM 04-27-2017,Poo And Pee,
344,8:50AM 04-27-2017,Poo And Pee,
346,12:38PM 04-27-2017,Pee,
347,3:29PM 04-27-2017,Poo And Pee,
348,5:04PM 04-27-2017,Pee,
349,7:46PM 04-27-2017,Pee,
350,9:52PM 04-27-2017,Pee,
351,4:44AM 04-28-2017,Pee,
352,5:01AM 04-28-2017,Poo And Pee,
353,7:57AM 04-28-2017,Pee,
354,8:15AM 04-28-2017,Poo And Pee,
355,11:20AM 04-28-2017,Poo And Pee,
356,1:46PM 04-28-2017,Pee,
357,4:46PM 04-28-2017,Pee,
358,5:01PM 04-28-2017,Poo,
359,10:27PM 04-28-2017,Poo And Pee,
360,4:58AM 04-29-2017,Pee,
361,9:22AM 04-29-2017,Pee,
362,9:48AM 04-29-2017,Poo And Pee,
363,1:26PM 04-29-2017,Pee,
364,6:09PM 04-29-2017,Poo And Pee,
365,6:29PM 04-29-2017,Poo And Pee,
366,8:37PM 04-29-2017,Pee,
367,9:01PM 04-29-2017,Poo,
368,3:36AM 04-30-2017,Pee,
369,6:51AM 04-30-2017,Pee,
370,7:01AM 04-30-2017,Poo,
371,8:47AM 04-30-2017,Pee,
372,11:48AM 04-30-2017,Pee,
373,3:44PM 04-30-2017,Pee,
374,5:34PM 04-30-2017,Poo And Pee,
375,8:28PM 04-30-2017,Pee,
376,10:02PM 04-30-2017,Pee,
377,2:22AM 05-01-2017,Pee,
378,2:37AM 05-01-2017,Poo And Pee,
379,6:10AM 05-01-2017,Pee,
380,8:53AM 05-01-2017,Poo And Pee,
381,10:27AM 05-01-2017,Pee,
382,11:23AM 05-01-2017,Pee,
383,1:17PM 05-01-2017,Poo And Pee,
384,3:33PM 05-01-2017,Pee,
385,6:13PM 05-01-2017,Poo And Pee,
386,9:30PM 05-01-2017,Pee,
387,2:09AM 05-02-2017,Poo And Pee,
388,5:20AM 05-02-2017,Poo And Pee,
389,7:15AM 05-02-2017,Poo And Pee,Small poo
390,9:43AM 05-02-2017,Poo And Pee,
391,10:16AM 05-02-2017,Pee,
392,1:13PM 05-02-2017,Pee,
393,1:35PM 05-02-2017,Poo,
394,3:33PM 05-02-2017,Pee,
395,6:13PM 05-02-2017,Poo And Pee,
396,3:13AM 05-03-2017,Poo And Pee,
398,6:15AM 05-03-2017,Poo And Pee,
397,8:06AM 05-03-2017,Poo And Pee,
399,9:05AM 05-03-2017,Pee,
400,12:40PM 05-03-2017,Poo And Pee,
401,1:30PM 05-03-2017,Poo And Pee,
402,5:49PM 05-03-2017,Poo And Pee,
403,7:11PM 05-03-2017,Pee,
404,8:58PM 05-03-2017,Pee,
405,4:21AM 05-04-2017,Pee,
406,7:27AM 05-04-2017,Poo And Pee,
408,9:20AM 05-04-2017,Pee,
407,10:38AM 05-04-2017,Poo And Pee,
409,1:20PM 05-04-2017,Pee,
410,3:42PM 05-04-2017,Pee,
411,4:07PM 05-04-2017,Poo And Pee,
412,9:26PM 05-04-2017,Poo And Pee,
413,9:44PM 05-04-2017,Pee,
414,10:04PM 05-04-2017,Poo,
415,4:53AM 05-05-2017,Pee,
416,8:30AM 05-05-2017,Poo And Pee,
417,11:00AM 05-05-2017,Pee,
418,12:12PM 05-05-2017,Poo And Pee,
419,3:10PM 05-05-2017,Pee,
420,5:51PM 05-05-2017,Poo And Pee,
421,7:53PM 05-05-2017,Poo And Pee,
422,9:02PM 05-05-2017,Pee,
423,10:19PM 05-05-2017,Pee,
424,2:14AM 05-06-2017,Pee,
425,9:18AM 05-06-2017,Poo And Pee,
426,10:57AM 05-06-2017,Pee,
427,12:55PM 05-06-2017,Pee,
428,1:35PM 05-06-2017,Pee,
429,4:02PM 05-06-2017,Pee,
430,8:46PM 05-06-2017,Pee,
431,9:06PM 05-06-2017,Poo,
432,3:54AM 05-07-2017,Poo And Pee,
433,6:37AM 05-07-2017,Pee,
434,10:00AM 05-07-2017,Poo And Pee,
435,12:24PM 05-07-2017,Pee,
436,12:56PM 05-07-2017,Poo And Pee,
