id,Start Time,End Time,Feeding History ID
482,1491134743358,1491134851748,219
483,1491136236265,1491136425946,220
484,1491136475067,1491136641732,220
485,1491136764979,1491136773210,220
486,1491137536659,1491137542592,221
487,1491137564997,1491137601311,221
488,1491137714758,1491137754332,221
489,1491137844204,1491137974393,221
490,1491145347318,1491145429853,222
491,1491145654337,1491145663288,222
492,1491147823013,1491147906010,223
493,1491148060043,1491148097807,223
494,1491159431015,1491159659649,224
495,1491160049948,1491160074669,224
496,1491160103923,1491160125388,224
497,1491161320866,1491161349020,225
498,1491161416298,1491161468892,225
499,1491161616672,1491161624505,225
500,1491161724264,1491161779835,225
501,1491161799606,1491161809657,225
502,1491177855033,1491178073431,229
503,1491178135555,1491178141055,229
504,1491187821343,1491187837501,230
505,1491187919195,1491188104573,230
506,1491188259939,1491188275506,230
507,1491188324662,1491188336361,230
508,1491195335969,1491195363434,232
509,1491195437293,1491195452774,232
510,1491195604771,1491195668759,232
511,1491196731719,1491196756768,233
512,1491196862912,1491196870979,233
513,1491197126508,1491197454666,233
514,1491198404101,1491198433466,234
515,1491198509224,1491198524057,234
516,1491209117035,1491209138604,235
517,1491209256183,1491209267001,235
518,1491209320512,1491209329054,235
519,1491210604779,1491210653125,236
520,1491210710119,1491210800987,236
521,1491222317165,1491222361422,237
522,1491222668118,1491222693839,237
523,1491223816993,1491223895880,238
524,1491231708537,1491231808646,239
525,1491233419269,1491233446655,240
526,1491233489045,1491233547361,240
527,1491233555648,1491233731692,240
528,1491234202169,1491234229326,240
529,1491234296693,1491234350065,240
530,1491234360302,1491234365614,240
531,1491238419655,1491238446229,241
532,1491238525123,1491238562357,241
533,1491238587860,1491238702857,241
534,1491239180073,1491239243246,241
535,1491239294922,1491239312573,241
536,1491239358764,1491239538393,241
537,1491239651404,1491239657485,241
538,1491239771499,1491239787014,241
539,1491240222270,1491240235201,242
540,1491240275444,1491240329146,242
541,1491240351421,1491240442286,242
542,1491247298200,1491247305357,244
543,1491247363051,1491247375382,244
544,1491247600286,1491247652520,244
545,1491247726314,1491247734943,244
546,1491247842709,1491247852656,244
547,1491248022406,1491248038972,244
548,1491248049877,1491248091709,244
549,1491248157185,1491248232540,244
550,1491253487720,1491253494641,247
551,1491254262601,1491254277673,248
552,1491254401835,1491254440338,248
553,1491264756268,1491264785441,249
554,1491265043052,1491265133070,249
555,1491266639114,1491266647062,250
556,1491266696736,1491266754871,250
557,1491266800779,1491266956553,250
558,1491267107451,1491267131263,250
559,1491270177149,1491270186710,251
560,1491270260655,1491270305353,251
561,1491271362398,1491272069106,252
562,1491273144642,1491273156685,253
563,1491273218880,1491273245293,253
564,1491273382523,1491273399056,253
565,1491273494468,1491273596842,253
